listing_id,id,date,reviewer_id,reviewer_name,comments;;;
"6606,1575812,2012-06-27,1821528,Ivan,""Joyce was a great host and she made us feel very much at home. The cottage is in a prime neighborhood in Wallingford with easy access to nearby gas works park (we walked there). She surprised us in the morning with coffee and scones waiting for us on the patio! The garden area was very well designed.";;;
<br/>;;;
"<br/>Composting toilet take a while getting used to, but its part of the sustainable lifestyle. """;;;
"6606,1685576,2012-07-11,2703414,Susan,""Loved this cottage and beautiful yard.  This is a very quaint spot in a good location.  It's a short walk to Fremont.  ";;;
<br/>Plus there is a hot tub for the guests to use!  Doesn't get much better than this.;;;
<br/>;;;
"<br/>Joyce was a great host-very accommodating, interesting to talk to, and very helpful all-around.""";;;
"6606,1734779,2012-07-17,1657945,Robert,""Joyce is the perfect host. I cannot say enough good things about her. She is extremely friendly and generous, but also offers plenty of privacy. The cottage is small- perfect for one, very cozy for two. But Joyce thought of everything- rain jackets, bicycles, coffee, beer... She's very up on the Seattle restaurant scene, as well. Her house is perfectly situated just a few blocks from amazing restaurants, Gas Works Park (gorgeous view of downtown Seattle), and a bike trail. ";;;
<br/>;;;
"<br/>I have used Airbnb several times now, but have never had a host as thorough or as thoughtful as Joyce. I'm afraid she's set a rather high bar for the future. """;;;
"6606,1944994,2012-08-10,2163180,Matt,""Joyce was fantastic and so was the little cottage. Their's the standard stuff: The place was clean, quiet, well furnished, etc.";;;
<br/>;;;
<br/>The real benefit of this place was the little extras you'd never expect. First, their was the garden between the house and the cottage. It was gorgeous and well kept.;;;
<br/>;;;
<br/>Secondly, I happened to arrive when the plum tree in the backyard was producing some incredibly delicious plums. Yum!;;;
<br/>;;;
<br/>Third, I loved the outdoor shower. There is another shower inside but the weather was so gorgeous when I was there that it made showering outside the way to go (and don't worry, it was totally private and in no way uncomfortable).;;;
<br/>;;;
<br/>Fourth, Joyce is just a great host. There was a cold beer in the fridge for me when I arrived and on my last morning she made me a bowl of yogur, granola, and freshly picked blackberries (she had picked the berries herself a day or two before hand).;;;
<br/>;;;
"<br/>All in all, I cannot recommend this place highly enough! Perfect!""";;;
"6606,2311419,2012-09-17,3212393,Teri,""We had a great time staying at Joyce's cottage! Joyce was an awesome host and made us feel right at home. My boyfriend got sick during our trip and while I was out, Joyce brought him some juice and checked up on him. She also was great at recommending restaurants and gave us lots of guide books to check out. We traveled by car and there was always a parking spot right outside her house. The cottage was quaint and surrounded by her gorgeous garden and plum tree that were delicious! There was a compost toilet (that I have to admit, took me a little while to get used to) and a shower inside since it was too cold for us to take an outdoor shower. I highly recommend staying with Joyce! A great location in Seattle to stay in! Thanks Joyce :) """;;;
"6606,2413979,2012-09-25,3559996,Todd,""Awesome, quiet and fun! We had such a great time here and love the quaint spot in a great area of town. Host was exceptionally kind, flexible with getting in (we were in town for a wedding) and generous. Super easy spot to get around Seattle and having a picnic set up, access to parks, awesome food and more. We love this area of Seattle and the home was perfect for a couple. Amenities were fantastic and I'd suggest this as a quiet getaway for anyone that wants to experience a neighborhood in Seattle - unlike the downtown mayhem or noise of a hotel. Having lived in Seattle for years, it was really great to see how she has her cottage set up - even if you've never been, you can get a great understanding of the city - her recommendations of activities, places to eat and more are spot on. I'd highly recommend this awesome cottage any time. THANK YOU, JOYCE!""";;;
"6606,4776520,2013-05-25,6203519,Emily,""Joyce's cottage is very cute and comfortable and in a beautiful garden. We enjoyed our time in the Wallingford area. We were close to transit stops that took us downtown, to Capitol Hill, Georgetown and finally to the airport. Irwin's is a great coffee shop just a few blocks away. And Paseo's is a Cuban sandwich shop we highly recommend, also in walking distance (they only take cash). Joyce's cottage was great way for us to engage the city more like locals than tourists. Plus Joyce was very kind and accommodating, I would recommend this space for a couple or an individual. Thanks!""";;;
"6606,6784989,2013-08-25,5008872,Beth,""I really appreciated the  privacy of the wee cottage.  An inventive renovation of the garage that was  great for  a smaller person like me but might be challenging for  larger people.";;;
<br/>;;;
<br/>Joyce was gracious and accommodating.;;;
<br/>;;;
<br/>It's also in a great location. Transit downtown  or over to the University and  an easy walk up to 45th for meals or groceries. ;;;
<br/>;;;
"<br/>We will be returning.""";;;
"6606,7511677,2013-09-23,7951039,Jean,""Tiny cottage, great for no more than two, beautiful setting, close to most everything, and easy freeway access unless their are events at the college or rush hour.  We enjoyed our stay.  """;;;
"6606,7952218,2013-10-09,9069692,Ross,""Pretty good, though the access was a bit confusing. Great location, warm and comfortable.   """;;;
6606,8094378,2013-10-15,8989897,Karla,Joyce was a great host and more than accommodating to our group. The welcoming wine and bread were a very special touch after our long drive. We appreciated the hospitality. Thank you for allowing us to use your home during our trip. - the Canadian Crew.;;;
"6606,8335306,2013-10-26,8615289,Jill,""Joyce's urban cottage is lovely! Quite small, but perfect for a week in Seattle on business. The bed is especially comfortable. Thanks, Joyce!""";;;
6606,8565533,2013-11-05,1657945,Robert,Highly recommended. Joyce is very attentive but equally respectful of one's privacy. Her place is charming and in one of the most desirable locations in Seattle.;;;
6606,8670727,2013-11-11,6262889,Esther,Thank you Joyce for the lovely place to stay. I was very warm and cozy. It was very convenient to my office located just off of Northlake. Thank you and I will make sure to book here again when I need to travel to the office again. ;;;
"6606,14198624,2014-06-14,2897283,Anastasia,""Joyce lives in my dream home, complete with this quirky little cottage out back. This is the perfect place to stay in the perfect uptown Seattle neighborhood, where no hotel options even exist (do not ever book The Wallingford Inn - sounds charming but is ill frequented). Nestled between Ballard and the U. District, Wallingford is well served by city bus within a few blocks and provides a quiet retreat within a quarter hour of downtown. I lived in this beautiful neighborhood for years and really, there is no place in Seattle I would rather be. Wallyhood has a walk score of 97. Great restaurants and beautiful Green Lake for strolling.";;;
<br/>;;;
"<br/>The cottage served my needs perfectly with a kitchen serviceable for storing and reheating food and making coffee, although there are so many great coffee shops within walking distance that you do yourself a diservice by making your own. Very comfortable bed and superior cable TV and internet. There is even a hot tub on the property that I wish I hadn't been too tired to take advantage of. I hope if the need arises, that I can stay here agin.""";;;
"6606,15103705,2014-07-02,4969570,Tyler,""Joyce's little cottage was the perfect place for our trip. Comfy and cozy, close to transit and other amenities, it was great! """;;;
"6606,16020485,2014-07-20,3605722,Lauren,""This urban cottage was just as described - private, cozy and clean. Our favorite thing about it was the little garden area right outside our door where we spent the evenings after sightseeing all day. The neighborhood is lovely and we were surprised to find some really great restaurants and bars within walking distance. Joyce was a great host and even left us some warm scones outside our door one morning. Highly recommend this place! """;;;
"6606,17111733,2014-08-07,2237649,Beatrice,""The cottage was super cute and convenient to public transportation.  It was a great refuge after a busy day at a conference. Joyce left me a cold soda, which was awesome as it was a pretty hot day when I arrived.  She was a very friendly and responsive host.""";;;
6606,17698520,2014-08-16,18250896,Kathryn,The little cottage worked great for me while I was in Seattle for a week.  Nice and cozy! It has the most beautiful garden with chairs out front as well.  Really nice neighborhood. Joyce even put a beer in the fridge for me for when I arrived. :) ;;;
"6606,18012954,2014-08-20,14207237,Yukie,""Joyce's little cottage was very cute and cozy.  Having coffee, tea, water, etc. was very convenient, too.  Close to bus line, the town and shops, and a park.  I enjoyed a little table in the yard where I could sit out in the sun to eat and drink.  Perfect place to enjoy a summer in Seattle. I wish I could stayed longer!! """;;;
6606,18325808,2014-08-25,8696146,Erin,I hard a wonderful stay at Joyce's cottage!  It's a perfect little home-base for exploring Seattle.  She's a very kind hostess.;;;
"6606,18494673,2014-08-27,8926142,Jo,""Joyce was very friendly and welcoming, as was her little pup! The cottage was adorable and comfortable, and the backyard was enchanting. I made a mistake with my reservation and even ended up having to leave earlier than expected and Joyce was willing to work with me. This is a great comfy place to crash after bouncing around Seattle. """;;;
"6606,20353581,2014-09-28,2510615,Christopher,""The cottage was cozy and comfortable and within a great section of Seattle with lots of shops, restaurants, big trees and nice houses.  Joyce was super accommodating.  Great experience.""";;;
"6606,23990282,2014-12-16,8309687,Theodore,""Pictures are old, the place is starting to look a bit rundown. Mattress is stained. Host twice turned off water without notification to check her pipes for leaks - it's nice to be able to flush the toilet and wash your hands after using the bathroom in the morning.""";;;
"6606,30429568,2015-04-21,1271973,Amy,""This was my second booking for the cottage with Joyce.  The first was an extended stay, the second a recent weekend.  The cottage is very comfortable and the garden is lovely on a sunny day.  The bed is extremely comfortable"; the fridge is just big enough for everything you need for snacks and beverages for lounging in the garden or a picnic at Gas Works Park a short ways away.  There are a huge range of dining places in walking distance.  A relatively new one and a favorite for me is Bounty on 45th and Stone way--comfortable coffee shop ++ where you can get grilled sandwiches, coffee, beer (including growler fills!) and free movies and popcorn on Friday nights.;;
<br/>;;;
<br/>Contrary to what another previous guest suggested, I found the photos to be an excellent reflection of the space.  It was very clean, comfortable, and well appointed for everything I needed.  Joyce is great--helpful and extremely warm and friendly but not at all obtrusive.;;;
<br/>;;;
"<br/>Highly recommend the central location, this space, and Joyce as a terrific host if you are planning a trip to Seattle!""";;;
"6606,33718937,2015-05-31,31376147,April,""Joyce was out of town when we got there but  made sure everything was ready for us.   The place was cozy and beautiful.  The garden was certainly a highlight, we enjoyed eating outside, and hanging out in the hot tub. Awesome neighborhood!  When she got there she was super helpful, also her dog, Cleo, is awesome!";;;
<br/>;;;
<br/>;;;
<br/>Some things to note before your stay.  Not necessarily cons, but things you may want to anticipate:;;;
<br/>;;;
<br/>1) The internet wasn't great, but when Joyce rebooted it, it was much better.  But then the next day went back to being less than great.  Joyce also offered up her basement for us to use since it had better internet.;;;
<br/>;;;
<br/>2) The toilet is straight up in the shower, and the shower is straight up in the kitchen, which was not to my liking really, but I get grossed out kind of easily.  It was plenty clean, it just weirded me out.  ;;;
<br/>;;;
"<br/>3) It's quite small.  This was great for me and my sister since we grew up in a tiny room together, but I wouldn't want to be there with a romantic partner, especially not a smelly one.""";;;
"6606,35797188,2015-06-22,16767993,Kurt,""We had a very nice stay in Joyce's quaint and cozy cottage. Very comfortable and great location, wonderful garden and easy street parking. Would highly recommend for a single or intimate couple. """;;;
6606,36275527,2015-06-27,15737413,Chris,Joyce's spot is amazing!  I stayed there just under a week and it was perfect for me.  The spot is small but she makes that clear and for the price and location it's unbeatable!  Can't wait to book again;;;
"6606,36806825,2015-07-01,15980634,Meaghan,""Joyce wasn't at the cottage for our arrival, but her communication prior to our arrival was great.  She even greeted us one morning with delicious, piping hot scones!  The cottage itself was very charming and cozy--perfect for a couple or good friends.  A great place to come home to at the end of a day of exploring, and it was so conveniently located to a number of neighborhoods and also a short walk to the main drag of Wallingford and public transportation.  But if you're looking to cook to save a bit o' cash, I feel that the kitchen is serviceable for only very basic things (coffee, storing leftovers, etc.).  As noted in other reviews, the bathroom and kitchen are one space--didn't bother us too much, but some may not be everyone's cup of tea!  All in all, a cozy, conveniently located spot with a lovely garden in a great neighborhood.  Thanks Joyce!""";;;
"6606,37750582,2015-07-10,28968121,Swaati,""Joyce is a wonderful, kind, thoughtful and the warmest host I have met on AirBnB. She is very understanding and very accommodating. She gave us all the necessities and then some (yummy warm breakfast scones!). She was very responsive to our needs. """;;;
"6606,38386856,2015-07-15,7108244,Chhaya,""Joyce's cottage was great and a great deal. Very cute and perfect for a single person traveling alone or two people who don't mind the lack of door on the bathroom. As previous commenters have noted, the toilet is indeed inside the shower, and the whole bathroom sits inside the kitchen...but everything you need is there and works perfectly. The outdoor space is a really nice perk, too. ";;;
<br/>;;;
<br/>The cottage is closer to Wallingford than Fremont but easily accessible to all the tourist sites by bus (schedules and bus stops are easily findable on the Google Maps app on your smartphone). The Burke-Gilman bike path is nearby and Green Lake is also beautiful and within walking distance. ;;;
<br/>;;;
<br/>The kitchen isn't really made for cooking but is perfect for leftovers, picnics and morning coffee. The internet/wifi was spotty and intermittent - worked better to power the tv than it did my phone - but I also didn't bother to reach out to Joyce to ask her to reset the modem so it's possible it would've worked better if I had. AT&T got fine service though so it worked out fine for me. ;;;
<br/>;;;
"<br/>The photos in the listing are accurate or maybe even undersell the place, since it's a quite nice place to stay and is very charmingly put together given the space constraints. I'd happily stay there again. """;;;
"6606,39280788,2015-07-22,33503384,Sandra,""Joyce was awesome.  She was so friendly and hospitable.  Everything was clean and prepared for us. She had a plenty of Seattle information available for us to check out (magazines , maps etc.) .  The neighborhood is  residential and quite. But, it is a hop, skip , and a jump away from EVERYTHING"; restaurants/bars, cafes,grocery store, drug store, shops! I left my art supplies at home. My fingers got restless for my sketch pad. All I had to do was get on a bus and ride for 5 minutes. It was so awesome I walked back to the cottage. I liken it to Wicker Park in Chicago.  ;;
<br/>;;;
"<br/>We did some touristy stuff and didn't have a car. We used Lyft and  from where we were located and depending on the time of day (traffic can be nuts) the rides cost  between $7-$25. The location is pretty central to even the touristy places """;;;
"6606,40100556,2015-07-28,34447060,Jesse,""Joyce was very pleasent and when I arrived. The cottage is cozy, fit for two. Beautiful backyard.""";;;
"6606,41436706,2015-08-07,108658,Annie,""Charming cottage in a nice, walkable neighborhood.""";;;
"6606,42264792,2015-08-12,34225879,Nancy,""This was our first time in Seattle and we loved being in proximity (walking distance) to the great restaurants and breweries in Ballard, Fremont & Wallingford. Downtown was a reasonable uber away. The studio was cute and comfy, thanks Joyce!""";;;
"6606,44325161,2015-08-25,39288092,Rachael,""Joyce's place was fantastic! The cottage was clean and slept two comfortably. Plus, you can't beat the location.""";;;
6606,47077952,2015-09-15,41894012,Matthew,Quaint and quiet little cottage in the heart of one of the nicest neighborhoods in Seattle. We were visiting for three days and couldn't have asked for a more homey feeling in our stay. Joyce has set up a place for guests that she would stay in herself and the personal touches were evident. The price was great as well. ;;;
"6606,47664724,2015-09-21,14608030,Tim,""The Urban Cottage was just as described and in photo's.   The bed was very comfortable, and all the needs for a short stay.   Parking was never a problem, and communication with Joyce was simple.""";;;
6606,49004413,2015-09-30,40308378,Susan,The neighborhood is beautiful and a perfect location for us. The photos and description were completely accurate and representative of the cottage space.  ;;;
"6606,54613026,2015-11-22,46672070,Erin,""The cottage is an adorable little place, equipped with all of the essentials and even some toiletries in case you forgot your own.  Joyce is the sweetest hostess – she even had champagne and snacks waiting for us upon arrival since we were celebrating our honeymoon.  The location was great, walking distance to some fun neighborhoods, and a short uber ride to downtown.  We were only there for two short days, but felt that we had a more local experience of living in Seattle in the little cottage!""";;;
"6606,55230464,2015-11-29,8136995,Kimberly,""The apartment was as expected. Clean, cozy. I appreciated that Joyce had left out biscotti, hot chocolate, pop corn... a very nice touch!""";;;
"6606,57630459,2015-12-28,11235013,Nate,""We had a great experience at Joyce's urban cottage. It's small, but very cozy and suited us and our dog well while we were visiting family for Christmas. Highly recommended!""";;;
"6606,58448164,2016-01-02,23581473,Anne,""Arrival at Joyce's was really easy. The place was tucked away in her backyard and was small, cozy, clean and certainly unique. Great location in the neighborhood, just a 5-10 minute walk to coffee and bars with plenty of available parking out front. Very unique kitchen & bathroom!  """;;;
"6606,68905885,2016-04-07,189346,Tobias,""We had a great time staying here. The space is comfortable and private, and Joyce is a lovely host.""";;;
"6606,70614326,2016-04-19,58730170,Christoph,""The cottage was incredible and so was our host Joyce. She gave us scones the morning after our arrival and there were fresh flowers in the cottage, which smelled wonderful. The bed was comfortable and the whole cottage clean. I would definitely recommend staying there. It was an amazing experience.""";;;
"6606,71364276,2016-04-24,29689514,Mireille,""We arrived in the middle of the night and the cottage was ready for us. It was easy to find it with Joyce's directions. She had also prepared some maps for us and listed her favourite restaurants and we used both tools and were not disappointed.  The location was perfect and we could take a leisure walk to downtown - we were very close to very cool, affordable food, coffee and drinks and even a few blocks away from a live music venue! The cottage was well stocked and clean and had plenty of instructions, it was a very enjoyable stay!""";;;
"6606,72736017,2016-05-04,67311536,Mari,""Great, cozy place surrounded by a beautiful, zen garden.  It reminded me of a cozy hut in Belize wrapped up in a cute Seattle home.  The area was quiet and centrally located as Joyce mentions.  Lastly, Joyce was wonderful and helpful.  """;;;
"6606,73544684,2016-05-08,48803117,Amanda,""I had an amazing stay at the garden cottage. The location was perfect for what I was to town for - close to restaurants, shops, and parks. The garden was lovely and the weather was perfect for sitting outside and enjoying a cup of coffee and watching the hummingbirds flying around. The bed was comfortable and the snacks are a nice touch. I knew I wasn't going to be around too much, so I just needed a really just needed place to sleep, so I didn't get a chance to watch TV or use the hot tub. But this place was beyond what I expected for sure.""";;;
"6606,77212819,2016-05-30,15476394,Marie-Noelle,""Nous avons passé 2 semaines dans le joli Cottage de Joyce . Il est très bien situé dans la ville, dans une rue calme et un quartier très agréable, au fond d'un ravissant jardin . Joyce nous avait laissé les clés , des tas de prospectus pour nous aider à découvrir la ville et beaucoup de bonnes choses à manger . Nous avons beaucoup apprécié ! Le cottage était très propre et il y avait tout le nécessaire pour passer un séjour dans de bonnes conditions ! Cette location à un excellent rapport qualité prix , nous la recommandons . """;;;
6606,78125584,2016-06-05,6466328,Melissa,Very sweet little backyard cotta7;;;
"6606,80733479,2016-06-19,55577515,Joost,""De buurt waarin Joyce's urban cottage staat is een vriendelijke, knusse en nette buurt. De cottage heeft veel privacy, omdat ze in de achtertuin staat.";;;
<br/>Joyce heeft vooraf zeer attent geanticipeerd op wat je als gast nodig hebt via emails. Jammer dat ze er niet was toen ik arriveerde. Een mail van haar om me daarover te informeren had ik jammer genoeg niet ontvangen. Graag had ik gedurende mijn 11 dagen in het appartement met haar kennis gemaakt. Wij beiden hadden een druk bestaan, denk ik, en daardoor is dat niet gelukt. ;;;
<br/>De cottage zelf heeft alle voorzieningen die ze had beschreven en ook het internet werkte prima, behalve de laatste dag.;;;
"<br/>Ik wens haar verder heel veel succes met haar gastvrouw zijn via Airbnb.""";;;
6606,81624567,2016-06-24,76450494,Mike,The Urban Cottage is a little gem. We found everything we needed and expected for our stay. The property was exactly as described and located in a very quiet and safe neighborhood. We will hope to stay there again when we visit Seattle in the future. Thanks Joyce!;;;
6606,82788906,2016-06-29,8265319,Antonia,Super cute place.  Had everything I needed.  I could walk anywhere.  Joyce was lovely.  If you want to stay in the area for under $100.00 you can't beat it.;;;
"6606,84179728,2016-07-05,9540594,Kimberly,""Joyce checked in with me before I arrived with great directions for checking in. She left coffee, wine and snacks for us.";;;
"<br/>The cottage was really cute and thoughtfully appointed. The yard was private and comfortable. We had a great time.""";;;
"6606,84987647,2016-07-10,58581831,Aaron,""The cottage was in a quiet neighborhood with many shops and restaurants within walking distance (about 0.5 mile away) and bus stops nearby. The photos of the cottage painted an accurate picture of the place. The shower/bathroom combo in the same room as the kitchen was a bit awkward at times, since the person using the shower or toilet was shielded from view by anyone in the kitchen via a clear shower curtain.  However, it was a quaint homey place with a cheery hospitable host and friendly puppy. We enjoyed our stay there!""";;;
"6606,86470845,2016-07-16,16403357,Lydia,""Joyce's urban cottage was perfect for me and my boyfriend. When we arrived, the cottage was stocked with wine, cookies, fruit, and various other food items. We were provided with everything we needed for a comfortable stay. The toilet and shower are fairly open and directly off the kitchen, so if you're traveling with a companion, note that you're going to be up close and personal. It's a small, cozy space, and Joyce has definitely made the most of it! The location was great—about a fifteen-minute walk to the Fremont Troll and Gas Works Park, and a quick Uber ride everywhere else. There's also a bodega down the street and a 7-11 within walking distance. We met Joyce and her dog Cleo, and they were both welcoming and happy to share their home and neighborhood. Joyce was communicative, friendly, and very helpful. This is a beautiful little place, hidden away in Joyce's lovely garden. Highly recommended!";;;
"<br/>""";;;
"6606,87152151,2016-07-18,2842305,Elisa,""Joyce was out of town while we were there, but she checked in via text and left us with all the information and help we could have asked for!  The cottage was a little smaller than we expected, but comfortable.  It was an easy walk to excellent restaurants and the Fremont farmer's market Sunday morning!""";;;
6606,87933356,2016-07-22,8328976,Audrey,Joyce's cottage is an adorable cozy space perfect for one! There are a few quirks to the place but I felt very comfortable and Joyce was an attentive host.;;;
6606,90568011,2016-08-01,82172823,Michael,The host was polite and offered us fresh plums off the tree in the backyard. The picture of the backyard is true but doesn't convey how very small the converted garage space really is. Guests need to understand that there is no A/C.;;;
"6606,91909337,2016-08-07,50378291,Bronwyn,""Joyce was very helpful, and provided us with everything we needed. The space is small but clean and comfortable, and the backyard is lovely""";;;
"6606,94925642,2016-08-17,57172890,Greg,""Joyce's cottage was perfect for me! It was clean,private and had a great garden area to relax in. The location is excellent and I will definitely reserve this Airbnb the next time I am in Seattle. """;;;
6606,96645361,2016-08-23,80914819,Tedi,My stay at Joyce's was excellent. She was very accomadating. There was a heat advisory while I was there and she made sure I was comfortable. The neighborhood was safe. The cottage was perfect for me and was advertised accurately. I will definitely book with Joyce on my next trip.;;;
6606,97038305,2016-08-25,85393702,Brett,The urban cottage was a great experience! Joyce welcomed us upon arrival and gave us all the info we needed. Location was excellent with easy access to all the areas around Lake Union!;;;
"6606,97801339,2016-08-28,28647948,Robin,""We enjoyed our stay at Joyce's cottage. The location was just as described, 15 minutes to mostly everything (about a $10-12 Lyft or Uber ride). Joyce had water, coffee, and fruit waiting for us on arrival. She also made sure to let us know her dogs would be wandering the yard in the event we weren't dog-friendly folks. Thanks again Joyce for everything, we'll definitely keep you in mind for future visits! """;;;
"6606,101204078,2016-09-12,6494945,Alexandra,""We had a great stay at the urban cottage. The space was well looked after, and was just right for two people. Joyce was also a very attentive host who was happy to make neighborhood recommendations and make sure we were comfortable. I would be happy to stay here again!""";;;
"6606,101500353,2016-09-13,94294629,Heather,""The cottage was very nice. Quiet, clean and private space. Perfect for what I needed. Thank you Joyce!""";;;
"6606,102280310,2016-09-17,31342123,Alyssa,""We absolutely loved Joyce's cottage. Very cute, clean and cozy! Great location, about a 10 minute drive from downtown. Would definitely recommend! """;;;
6606,104460762,2016-09-26,37016581,Josh,The cottage is beyond charming and supremely lovely. Joyce took good care of us and I highly recommend.;;;
"6606,105682265,2016-10-02,87266380,Jenny,""This place was cozy and clean. We desired a bit more privacy as there were folks walking through the back yard where this converted garage was at one point. However, we loved the local coffee shop and beautiful neighborhood this home was in. We were grateful for the time away!""";;;
"6606,106713696,2016-10-07,7882482,Katy,""Joyce was so welcoming to us and made us feel at home in her cozy backyard cottage. Her cottage was clean and stocked with snacks, coffee and tea and she was quick to respond to any of our questions. We recommend her cottage to anyone looking for a place to stay in Seattle!""";;;
6606,107192170,2016-10-09,11975193,Allyson,Small but nicely appointed. Snacks were a nice touch! Very functional. ;;;
"6606,108997435,2016-10-18,96655244,Ashley,""Joyce was a pleasure to stay with! She made the stay very easy and welcoming & was very helpful with knowledge & must sees. Her cottage was exactly how described & very cozy! Such a great stay, would definitely stay again!""";;;
6606,153099060,2017-05-19,130602310,Richard,Great calm cottage in a wonderful garden. Close to everything and Joyce was a wonderful host with lots of advice for what to see. ;;;
"6606,155778687,2017-05-28,46860016,Mariah,""Joyce's place was in a great location, and she was an awesome host- easy to communicate with, and gave us a lot of great ideas.<br/>However, the cottage is MUCH smaller than pictured or described. The kitchen, bathroom, shower is all together in about a 4-5 foot area. There is no working hot tub - it looks to have been out of commission for quite a while. We tried to turn the air-conditioning on, but there was a cover super glued to the outside where we could turn on / off. The door to the kitchen/bathroom fell off the hinge before we even tried to close it, and wouldn't go back on.<br/>Don't get me wrong, we were hardly in the cottage so it was a fine place for us";" however, if you're expecting a semi-spacious area, this is not nearly as big as it looks in pictures. """;;
"6606,156736086,2017-05-31,33463594,Brian,""Really nice house and area of<br/>Town, great host and close to public transportation. It's really easy to<br/>Get on and off the bus to downtown. Nice spot""";;;
"6606,158243023,2017-06-05,91283290,Liza,""Joyce's place is so cozy and comfortable. She made us feel very comfortable and outfitted the cottage with amenities, pieces of fruit, and little snacks.  Her backyard is a verdant lively garden with a sweet little table and chairs. Very walkable + central! Would absolutely send friends and family to stay here! """;;;
"6606,159305899,2017-06-10,3374786,Liam,""Great neighborhood with regular buses to various areas of Seattle. Easy access to restaurants and shops in Wallingford and a short walk to Gasworks park. Space was very small, but accommodated us well. """;;;
"6606,160370141,2017-06-13,127897629,Jesse,""We had a great stay here in Joyce's little cottage. The neighborhood is beautiful and we were walking distance to lots of great restaurants, parks, coffee shops and the zoo. Only awkward part is the toilet not really having a door and the room being small. """;;;
"6606,161385220,2017-06-17,16489107,Fatima,""Primera vez en Seattle, agradable estancia de dos días en el bonito y tranquilo barrio de Wallingford. """;;;
6606,163162054,2017-06-23,103473852,Erin,Joyce was so helpful and worked with us when we needed to check in early. The cottage is centrally located to everything you may want to do to experience Seattle and was such a treat to stay at! ;;;
"6606,164303783,2017-06-26,105492371,Annie,""We stayed at Joyce's cabin for 2 nights and it was an all around wonderful mini vacation. It is so cozy, clean, and functional - and the location is perfect! Joyce was very friendly, let us know all the great places to go, and gave us a few cold beers upon arrival which hit the spot on a semi hot day. Thanks for the great stay Joyce!""";;;
"6606,165730043,2017-07-02,12111753,Andrew,""For Wallingford and Fremont, this is Avery good place to stay. Joyce is a good host. """;;;
6606,168635221,2017-07-09,20488268,Austin,Good cheap last minute option. The cottage is in a great neighborhood but the interior is lacking. Bathroom was uncomfortable to use and in disrepair. Joyce was a friendly host and we enjoyed her dog Cleo.;;;
6606,169215814,2017-07-11,138948772,Susan,Location is great. Outside area is very pretty and private.;;;
"6606,171095066,2017-07-16,63016447,Matt,""Joyce's cottage was great, cozy, serene, and wonderful.  Very easy to communicate and the arrival sequence was simple.  A must stay if you're traveling alone or with a significant other.""";;;
"6606,172403809,2017-07-20,7658464,Nathan,""My stay at Joyce's place was great! It's in a nice central location (with easy walk) between Green Lake, Fremont, Gasworks Park, and the university, and the bus stop is right near her place! As others mentioned, the cottage is small, but it met my needs as a business traveler who leaves a small footprint (and likes adventure). She has a couple of Airbnb's here, so make sure you go to the right one (each is named). I would stay again, especially if I was on a budget.""";;;
